Difference of "texture_list" between "1.0.7" and "1.0.8".

Total texture: 1360 (+99, -2)
Added texture "textures/blocks/chain_command_block_back" of ["core"].
Added texture "textures/blocks/chain_command_block_back_mipmap" of ["core"].
Added texture "textures/blocks/chain_command_block_conditional" of ["core"].
Added texture "textures/blocks/chain_command_block_conditional_mipmap" of ["core"].
Added texture "textures/blocks/chain_command_block_front" of ["core"].
Added texture "textures/blocks/chain_command_block_front_mipmap" of ["core"].
Added texture "textures/blocks/chain_command_block_side" of ["core"].
Added texture "textures/blocks/chain_command_block_side_mipmap" of ["core"].
Added texture "textures/blocks/command_block_back" of ["core"].
Added texture "textures/blocks/command_block_back_mipmap" of ["core"].
Added texture "textures/blocks/command_block_conditional" of ["core"].
Added texture "textures/blocks/command_block_conditional_mipmap" of ["core"].
Added texture "textures/blocks/command_block_front" of ["core"].
Added texture "textures/blocks/command_block_front_mipmap" of ["core"].
Added texture "textures/blocks/command_block_side" of ["core"].
Added texture "textures/blocks/command_block_side_mipmap" of ["core"].
Added texture "textures/blocks/frosted_ice_0" of ["core"].
Added texture "textures/blocks/frosted_ice_1" of ["core"].
Added texture "textures/blocks/frosted_ice_2" of ["core"].
Added texture "textures/blocks/frosted_ice_3" of ["core"].
Added texture "textures/blocks/repeating_command_block_back" of ["core"].
Added texture "textures/blocks/repeating_command_block_back_mipmap" of ["core"].
Added texture "textures/blocks/repeating_command_block_conditional" of ["core"].
Added texture "textures/blocks/repeating_command_block_conditional_mipmap" of ["core"].
Added texture "textures/blocks/repeating_command_block_front" of ["core"].
Added texture "textures/blocks/repeating_command_block_front_mipmap" of ["core"].
Added texture "textures/blocks/repeating_command_block_side" of ["core"].
Added texture "textures/blocks/repeating_command_block_side_mipmap" of ["core"].
Added texture "textures/blocks/shulker_top_white" of ["core"].
Added texture "textures/blocks/structure_block_export" of ["core"].
Added texture "textures/colormap/swamp_foliage" of ["core"].
Added texture "textures/colormap/swamp_grass" of ["core"].
Added texture "textures/entity/llama/decor/decor_black" of ["core"].
Added texture "textures/entity/llama/decor/decor_blue" of ["core"].
Added texture "textures/entity/llama/decor/decor_brown" of ["core"].
Added texture "textures/entity/llama/decor/decor_cyan" of ["core"].
Added texture "textures/entity/llama/decor/decor_gray" of ["core"].
Added texture "textures/entity/llama/decor/decor_green" of ["core"].
Added texture "textures/entity/llama/decor/decor_light_blue" of ["core"].
Added texture "textures/entity/llama/decor/decor_lime" of ["core"].
Added texture "textures/entity/llama/decor/decor_magenta" of ["core"].
Added texture "textures/entity/llama/decor/decor_none" of ["core"].
Added texture "textures/entity/llama/decor/decor_orange" of ["core"].
Added texture "textures/entity/llama/decor/decor_pink" of ["core"].
Added texture "textures/entity/llama/decor/decor_purple" of ["core"].
Added texture "textures/entity/llama/decor/decor_red" of ["core"].
Added texture "textures/entity/llama/decor/decor_silver" of ["core"].
Added texture "textures/entity/llama/decor/decor_white" of ["core"].
Added texture "textures/entity/llama/decor/decor_yellow" of ["core"].
Added texture "textures/entity/llama/llama" of ["core"].
Added texture "textures/entity/llama/llama_brown" of ["core"].
Added texture "textures/entity/llama/llama_creamy" of ["core"].
Added texture "textures/entity/llama/llama_gray" of ["core"].
Added texture "textures/entity/llama/llama_white" of ["core"].
Added texture "textures/entity/llama/spit" of ["core"].
Added texture "textures/entity/vindicator" of ["core"].
Added texture "textures/gui/newgui/Bundle/MashupIcon" of ["core"].
Removed texture "textures/gui/newgui/Bundle/terrain" of ["core"].
Added texture "textures/gui/newgui/Caution" of ["core"].
Added texture "textures/gui/newgui/ChainSquare" of ["core"].
Added texture "textures/gui/newgui/ErrorGlyph" of ["core"].
Added texture "textures/gui/newgui/ImpulseSquare" of ["core"].
Added texture "textures/gui/newgui/RepeatSquare" of ["core"].
Added texture "textures/gui/newgui/UpdateGlyph" of ["core"].
Added texture "textures/gui/newgui/WarningGlyph" of ["core"].
Added texture "textures/gui/newgui/arrowDown" of ["core"].
Added texture "textures/gui/newgui/empty_llama_slot_carpet" of ["core"].
Added texture "textures/gui/newgui/minimize" of ["core"].
Added texture "textures/gui/newgui/minimizeHover" of ["core"].
Added texture "textures/gui/newgui/minimizePress" of ["core"].
Added texture "textures/gui/newgui/settings/storageIcon" of ["core"].
Added texture "textures/gui/newgui/settings/storageIconColor" of ["core"].
Added texture "textures/gui/newgui/share" of ["core"].
Added texture "textures/gui/newgui/storage/androidshare" of ["core"].
Added texture "textures/gui/newgui/storage/infobulb" of ["core"].
Added texture "textures/gui/newgui/storage/invertedmultiselecticon" of ["core"].
Added texture "textures/gui/newgui/storage/iosshare" of ["core"].
Added texture "textures/gui/newgui/storage/minus" of ["core"].
Added texture "textures/gui/newgui/storage/move" of ["core"].
Added texture "textures/gui/newgui/storage/multiselection" of ["core"].
Added texture "textures/gui/newgui/storage/plus" of ["core"].
Added texture "textures/gui/newgui/storage/trash" of ["core"].
Added texture "textures/gui/newgui/storage/update" of ["core"].
Added texture "textures/gui/newgui/storage/windowsshare" of ["core"].
Added texture "textures/gui/newgui/structure_block" of ["core"].
Added texture "textures/gui/newgui/structure_block_corner" of ["core"].
Added texture "textures/gui/newgui/structure_block_data" of ["core"].
Added texture "textures/gui/newgui/structure_block_export" of ["core"].
Added texture "textures/gui/newgui/structure_block_load" of ["core"].
Added texture "textures/gui/newgui/structure_block_save" of ["core"].
Added texture "textures/gui/newgui/trash" of ["core"].
Added texture "textures/gui/newgui/viewCollapsed" of ["core"].
Added texture "textures/gui/newgui/viewExpanded" of ["core"].
Added texture "textures/gui/newgui/xyz_axis" of ["core"].
Added texture "textures/gui/titleFireTV" of ["core"].
Removed texture "textures/items/bed" of ["core"].
Added texture "textures/items/egg_llama" of ["core"].
Added texture "textures/items/egg_vindicator" of ["core"].
Added texture "textures/items/empty_armor_slot_shield" of ["core"].
Added texture "textures/items/iron_nugget" of ["core"].
Added texture "textures/items/totem" of ["core"].
