Difference of "texture_list" between "1.9.0" and "1.10.0.3" (beta of "1.10.0").

Total texture: 2413 (+91, -8)
Added texture "textures/blocks/barrel_bottom" of ["core"].
Added texture "textures/blocks/barrel_side" of ["core"].
Added texture "textures/blocks/barrel_top" of ["core"].
Added texture "textures/blocks/campfire" of ["core"].
Added texture "textures/blocks/campfire_side" of ["core"].
Added texture "textures/blocks/campfire_top" of ["core"].
Added texture "textures/blocks/campfire_top_on" of ["core"].
Added texture "textures/blocks/compost" of ["core"].
Added texture "textures/blocks/compost_ready" of ["core"].
Added texture "textures/blocks/composter_bottom" of ["core"].
Added texture "textures/blocks/composter_side" of ["core"].
Added texture "textures/blocks/composter_top" of ["core"].
Removed texture "textures/blocks/fishbarrel_bottom" of ["core"].
Removed texture "textures/blocks/fishbarrel_side" of ["core"].
Removed texture "textures/blocks/fishbarrel_top" of ["core"].
Removed texture "textures/blocks/fishbarrel_top_empty" of ["core"].
Removed texture "textures/blocks/fishbarrel_top_lid" of ["core"].
Added texture "textures/blocks/jigsaw_back" of ["core"].
Added texture "textures/blocks/jigsaw_front" of ["core"].
Added texture "textures/blocks/jigsaw_side" of ["core"].
Added texture "textures/blocks/lectern_base" of ["core"].
Added texture "textures/blocks/lectern_front" of ["core"].
Added texture "textures/blocks/lectern_sides" of ["core"].
Added texture "textures/blocks/lectern_top" of ["core"].
Added texture "textures/blocks/loom_bottom" of ["core"].
Added texture "textures/blocks/loom_front" of ["core"].
Added texture "textures/blocks/loom_side" of ["core"].
Added texture "textures/blocks/loom_top" of ["core"].
Added texture "textures/blocks/smoker_front_on" of ["core"].
Removed texture "textures/blocks/smoker_front_on_1" of ["core"].
Removed texture "textures/blocks/smoker_front_on_2" of ["core"].
Removed texture "textures/blocks/smoker_front_on_3" of ["core"].
Added texture "textures/blocks/stonecutter2_bottom" of ["core"].
Added texture "textures/blocks/stonecutter2_saw" of ["core"].
Added texture "textures/blocks/stonecutter2_side" of ["core"].
Added texture "textures/blocks/stonecutter2_top" of ["core"].
