Difference of "texture_list" between "1.16.210.61" (beta of "1.16.210") and "1.16.210".

Total texture: 2917 (+0, -36)
Removed texture "textures/blocks/copper_block" of ["experimental"].
Removed texture "textures/blocks/copper_ore" of ["experimental"].
Removed texture "textures/blocks/cut_copper" of ["experimental"].
Removed texture "textures/blocks/lightly_weathered_copper_block" of ["experimental"].
Removed texture "textures/blocks/lightly_weathered_cut_copper" of ["experimental"].
Removed texture "textures/blocks/lightning_rod" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_down_base" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_down_frustum" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_down_merge" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_down_middle" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_down_tip" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_up_base" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_up_frustum" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_up_merge" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_up_middle" of ["experimental"].
Removed texture "textures/blocks/pointed_dripstone_up_tip" of ["experimental"].
Removed texture "textures/blocks/powder_snow" of ["experimental"].
Removed texture "textures/blocks/sculk_sensor_bottom" of ["experimental"].
Removed texture "textures/blocks/sculk_sensor_side" of ["experimental"].
Removed texture "textures/blocks/sculk_sensor_tendril_active" of ["experimental"].
Removed texture "textures/blocks/sculk_sensor_tendril_inactive" of ["experimental"].
Removed texture "textures/blocks/sculk_sensor_top" of ["experimental"].
Removed texture "textures/blocks/semi_weathered_copper_block" of ["experimental"].
Removed texture "textures/blocks/semi_weathered_cut_copper" of ["experimental"].
Removed texture "textures/blocks/weathered_copper_block" of ["experimental"].
Removed texture "textures/blocks/weathered_cut_copper" of ["experimental"].
Removed texture "textures/entity/goat/goat" of ["experimental"].
Removed texture "textures/items/bucket_powder_snow" of ["experimental"].
Removed texture "textures/items/copper_ingot" of ["experimental"].
Removed texture "textures/items/goat_horn" of ["experimental"].
Removed texture "textures/particle/vibration_signal" of ["experimental"].
Removed texture "textures/ui/freeze_heart" of ["experimental"].
Removed texture "textures/ui/freeze_heart_flash" of ["experimental"].
Removed texture "textures/ui/freeze_heart_flash_half" of ["experimental"].
Removed texture "textures/ui/freeze_heart_half" of ["experimental"].
Removed texture "textures/ui/frozen_effect" of ["experimental"].
