Difference of "all_files" between "in-20100219" and "in-20100223".

Total file: 359 (+5, -0)
Changed file "META-INF/MANIFEST.MF" from "e88361e92191affac7c788eb2ffdad5a1c9f7ed5" to "3011df68892039505cd9f5787c4fded2fb8211d5".
Changed file "META-INF/MOJANG_C.DSA" from "7222645da6d9da5747c323a9adfda472892f7502" to "f2b62adbb60be2608041c3a0f09311a1e8592325".
Changed file "META-INF/MOJANG_C.SF" from "e112c742530f0c6c25996eca24c17e1786015086" to "92cbc15a36c7f0d8a860b9f1ab85936942d38e56".
Added file "art/kz.png": "555c3218b15a592a709a01cb3d400ff3ddfd4f1a".
Changed file "gui/items.png" from "146fbbca2dd0823f5eea2d7b7f98704e05d5cf7d" to "7adfcacd3fbe8cae28edcd85334022be9ee6b8a5".
Changed file "net/minecraft/a/a/a.class" from "0c43ab82c37866a6e65b9af1504a9d4fe12756bb" to "56480f6de84a559323017e9112593545c321cbf9".
Changed file "net/minecraft/a/a/a/b.class" from "1affba0de4968a9f00abc05a562c9cfe4133ca6d" to "ed66912a9c1d044ce8155697fbd0a4371d128d3d".
Changed file "net/minecraft/a/a/a/c.class" from "364544c116988f938fb9b7d33c5396eeb129fc82" to "2468e99aace79285271e6a08681e2b6f31054004".
Changed file "net/minecraft/a/a/b.class" from "2521826b40a860f4c8ff9ddf78186bdceec4993e" to "d05445dab5be549566129fa29d41b7095e5dd9b3".
Changed file "net/minecraft/a/a/b/a.class" from "5bea0224a25e14569fcd4b067db0e8ffc051c781" to "08cc59b6b52129e0668e20878be6f9d3a978913a".
Changed file "net/minecraft/a/a/b/a/b.class" from "a6caca66207c50fa8e25b2caaeae1d7c9bf12349" to "67d068dd3a053a33fa4f44bf9edafced14934e5d".
Changed file "net/minecraft/a/a/b/aa.class" from "d6f500345b3439e3e423275b4e5ca91c4f2b763f" to "e4f8fa646ccef5eb15e8a1c3f72868de022a6b97".
Changed file "net/minecraft/a/a/b/c.class" from "c3b165c115002dcf97924ac0b245ffc7e4c67a7d" to "c1c0043bb57934ffd3e28163444cbdd194864fbf".
Changed file "net/minecraft/a/a/b/e.class" from "4941760efe55dcdf53d282fa72254146ec8e4ddd" to "a70c3f4074927bbf49abfb3cc88a3b1370fbfb03".
Changed file "net/minecraft/a/a/b/f.class" from "d93d08aaa9aa9586f8676619642639016e9fd07c" to "a6ebb8f8077e81c1c6ec612a5a022bc040bcaa71".
Changed file "net/minecraft/a/a/b/h.class" from "a8f799b441f94aa86f0ea19206cf3275c0000224" to "11d0cb603a8746de507427dea1e1076041a1d0a7".
Changed file "net/minecraft/a/a/b/m.class" from "38b54e6ffd07e72f80b846dc0257708f514d7a78" to "0bce168de1550873b6cf296578d4534cbaf5ed07".
Changed file "net/minecraft/a/a/b/x.class" from "8bf239924bd271c5cdb6a41fc62c6eeb37cc538e" to "d2b6c447e2cdee367becdaa3240180b08f58deb9".
Changed file "net/minecraft/a/a/d.class" from "282f84fab8db14e2e47bfa7000d5929b230bef09" to "3c3405d753c4f17fc132ba51606f1a60ad6d2c64".
Changed file "net/minecraft/a/a/f.class" from "2f17301889b58b9dadf91e7d9eb68d52fbe24446" to "39994bae8aec3a659908562bcda6cdd31930d185".
Changed file "net/minecraft/a/a/g.class" from "460a2d89de17a2119a0dee0ae3f9d25917110625" to "45a0ace9a0d21e597759f70fab75a23bc474f6ef".
Changed file "net/minecraft/a/a/i.class" from "c14bae920275505ee1d048f178cd5874f55eb7bf" to "fbf8776137754062802873457b4e070dcbedf9fa".
Changed file "net/minecraft/a/b/a.class" from "a7d72d04528c273a9f7b4b106a8e3658a375af37" to "33985d7c38e7ebf90d7f6efaebb0c3e46fbf238b".
Changed file "net/minecraft/a/b/a/f.class" from "dab0732690a2747bb8545665b3f0fb3535518a7b" to "2af0adbae558d9fa5b5343b3b2f7d38965b12956".
Changed file "net/minecraft/a/b/b.class" from "dedfeeabc68f7afb3db314f289d574efd48a3b76" to "5373396b8443867a9c4b5391a569321d39df259e".
Changed file "net/minecraft/a/b/c.class" from "dfa85590e28baa77fd94b0803b6963f02504b07d" to "89daad1641917f7b73c4ea9cab795a388c4280ba".
Changed file "net/minecraft/a/b/d.class" from "109c31b1e11730860ac54382e0c3a7f24074fe4b" to "126452264da16e753bab5cd05c240b6c0753a124".
Changed file "net/minecraft/a/b/e.class" from "f6f23e7f0898d81bf1afa2c2a2f5a1a6c7615f9e" to "a528f0fb1e873752a5cd82543f7df15876c32c32".
Changed file "net/minecraft/a/b/f.class" from "72120f32756e3b9b86b43b8ece8796a506338235" to "ef1d8d5ff85c51e5d6f1b9775cb10000362dd78f".
Changed file "net/minecraft/a/b/g.class" from "9b117b7bda0557134ec61fe82b38cac4433ffcc5" to "71a1dde8ba2bcf7e6a9a0c3fdcbc37ee54231833".
Changed file "net/minecraft/a/b/h.class" from "78fc7ebdd3b26b14045a8872a7dd8ce063043cef" to "5c575439bd8fe27ada4bec909274e9ce6f2e023d".
Changed file "net/minecraft/a/b/i.class" from "8436f6da209960b5338b1040a3d717be71234354" to "3d73f62cbcdfc538761b039d12eab0b60a996c83".
Changed file "net/minecraft/a/b/j.class" from "9ab2c02ca6983bd3b17dc8a66d852c93d21db289" to "05776ba5534c149f9ab14a6f1d4bb03e2c23aa0b".
Changed file "net/minecraft/a/b/k.class" from "b43d6c691993a972568992c15024534a334e207c" to "383112ec0c4a6727c7518ea290ce85715f40e9fe".
Changed file "net/minecraft/a/b/l.class" from "24ab50f6d0828384d52e1a9ec9ab45739e6b1a60" to "d271c73e2cc08284923eab2e57a4cc90cc20a61c".
Changed file "net/minecraft/a/b/m.class" from "c794353914f74d64e9cdab55a0bbf15a8e6e977d" to "216bdf7f22cb8cad22e9dbf2c39358d0ee071035".
Changed file "net/minecraft/a/b/n.class" from "4fe3c858fe02830e5129a62ef1a22395fa14b55b" to "e8dc5c6297cf02da28e8cc7caeddac303d855a1d".
Changed file "net/minecraft/a/b/o.class" from "525c4e0bebd8852f7263583cef622d3a89dabac8" to "a36e1871fcec393d86c07833e498b21d93ac2134".
Added file "net/minecraft/a/b/p.class": "f0116c9fb41864a0d359a9217946a88ecd9ef344".
Changed file "net/minecraft/a/c/a.class" from "56c3702e7e0ff422e9cedbbf1d38bcc7293010df" to "f689a7b978faf4964755914708f8596c71128945".
Changed file "net/minecraft/a/c/a/a.class" from "8827e69c9db4ef259b4d2c0ff4febde96ec7f818" to "98a430e17210acdda25c45278c1a6b75572a6151".
Changed file "net/minecraft/a/c/a/b.class" from "bf87d42deb2b5df12fd934d46ee25025e86681ac" to "b41d3a2bb877a8b4a1183c834d43fd83588817fe".
Changed file "net/minecraft/a/c/a/c.class" from "a47b4bd09dad1d32e2b54257eecdfb5ce78f9798" to "140444583ae4f8212fe157450abcdc3eb1c22ccc".
Changed file "net/minecraft/a/c/a/d.class" from "b0fb758c0f309d3fdc2cf936980ba747d409e61e" to "f30cf684078f2e3952536f14bf380617ba4facab".
Changed file "net/minecraft/a/c/a/e.class" from "8d820c854b70a394fee80a3edc6ba9e306f9dcb3" to "a4985e8b89dc17628a9f556825d45328781a3a2d".
Changed file "net/minecraft/a/c/a/f.class" from "c6fdf2d60a99abd5efdfd2da16d5d38ca7996abc" to "b5bf2c971ca88a069239adcc4446847aa3d4b1e8".
Changed file "net/minecraft/a/c/b.class" from "e8fb869536f69e8e0d2c8a7c0f55259631c1f7ef" to "fbdd33d71c86c8037b6ffd19dec8ac8043f97c57".
Changed file "net/minecraft/a/c/b/a.class" from "d7231ca695ff0dda0e70e2d667372bb9a6f2e6a3" to "4bba851f5ebcbc30c093e7944c9c71adb800c12e".
Changed file "net/minecraft/a/c/b/b.class" from "efc1393edd628ad5b9a30294a009b0bef3777db7" to "8e1458bdd1cd95223afcb427cc7b3a7157576bf4".
Changed file "net/minecraft/a/c/b/c.class" from "2934be82efce85b24165790e67503f9b30b55403" to "fb074c18d5ff5d7a42468b10677468f738feaafb".
Changed file "net/minecraft/a/c/c.class" from "5fc80bbce6ba7bbf638ace074a74618f3a6960c6" to "578754dd8a762af13a08a42625a2839b098a0a25".
Changed file "net/minecraft/a/c/c/a.class" from "06907faec914a7ce6940f93ba7b16d82468fc5d5" to "8a3490196da5f8f7daedbf4a431f6ef58a4a30c7".
Changed file "net/minecraft/a/c/c/b.class" from "10d3051a80d87a3ea5d4f18a181cc3dc050f5c73" to "7d799fbab7c1c922bd795a4b587d30c2fecc2610".
Added file "net/minecraft/a/c/d.class": "1a17fce0d77f7fcfa38b7ec382765de65e117c72".
Changed file "net/minecraft/a/c/d/a.class" from "ef93b0d7ef7a8073c5086d2a426b0f195928ffd5" to "125fbd97b16a9774758e54623ec78c04c4eb7ea8".
Added file "net/minecraft/a/c/e.class": "cc26674d0544e85715522865dc79ef7cf3e87bfc".
Changed file "net/minecraft/a/c/e/a.class" from "a2b9ce5b614249bd3b2faf1246cc461336f7b0d8" to "7ab372d2f22c378c2106a598269357570b10fdbd".
Changed file "net/minecraft/a/c/e/b.class" from "c1a5325cc937ec451fd0d952b553c9931a9cde30" to "d7fec52c1a31a281c51033674c8868b6f93ad3a7".
Changed file "net/minecraft/a/d/c.class" from "91768ce5fc87c2823eff46e2551d3d34a361c4ca" to "f3f4c43713ea7c2c721e51845ace96f3e8db366d".
Changed file "net/minecraft/client/a/a.class" from "9278bc89068a0d7abce941f0ab3a8c46fb9a3ab3" to "a62e32ae9e1b083f628acbd91ac06ff114b3a475".
Changed file "net/minecraft/client/a/a/a.class" from "f93cc1f639b143995245d368e2936280eb88881e" to "bf06ae1023c1c78b9f555014af399f2ffc3ba2ca".
Changed file "net/minecraft/client/a/a/b.class" from "e4cf944cea4e659ee968fd0225e6b4d32841822c" to "1020ee07d91a9c15ea9510f45e89daf2f3326759".
Changed file "net/minecraft/client/a/a/c.class" from "245f38ff04de8e82890f26c0069876f7f302ab47" to "6372da88657df1fc4bb5233e6df3dff6009ed8b3".
Changed file "net/minecraft/client/a/a/d.class" from "e2a9009f5e051ce331337f1d7a06d91f47158c17" to "b5e87a9e0e420bd33a167532485482015f96dc7d".
Changed file "net/minecraft/client/a/a/e.class" from "ae162cea359a5ada53f9f802d2b349c0a2097828" to "f42f11bf6b23182e256794e4c42e0b07f4186bd3".
Changed file "net/minecraft/client/a/a/f.class" from "059b99fbec6aefc7cabda60a19b676562f651809" to "9e21193178500d850767fca433dbd7820693d3b9".
