Difference of "all_files" between "a1.0.10" and "a1.0.11".

Total file: 509 (+10, -0)
Changed file "META-INF/MANIFEST.MF" from "8c84f0fd68db401e7303b18e66beef187e0e397a" to "24ec9758bec7f2d0a2095fa849f8cbb154895820".
Changed file "META-INF/MOJANG_C.DSA" from "82e50273aaae8281fcc54ade511b9c23f9b7f3f7" to "46620e118e59ddeebed2a3ad7868a864130e863d".
Changed file "META-INF/MOJANG_C.SF" from "5a786ca11de88bd0b911fad70302f088daa07b9b" to "9f6c00cd11e09a5313bef24800b3d43da7ff933b".
Changed file "a.class" from "12655ff4d63badf25e72ac9bc65fe4707f05c182" to "68da61ab72d09198d90d8f17851407705b91a035".
Changed file "aa.class" from "54a2b5c273d61fbea163ef982540fa5b24b8d8b0" to "b59f2fd37b94cb6f5d6b51cc039662949f313bc3".
Changed file "ab.class" from "cae93496b95dbd66ed88e9678b6cdea7ad5abe5b" to "7951599d61782f5c03ed79c467290cd8fb8f7e77".
Changed file "ac.class" from "3ecbb3cb95528905070f8de644c90779c82aa3b8" to "12912385659eef04214f659a687a7edc52e8b5df".
Changed file "ad.class" from "1a0e2d3f4f3542e89b145d896ad38d7a141aeb82" to "49a50819633b2f9272b17a9c544773ccb25be3fd".
Changed file "ae.class" from "df7bfa52deb1f21c0e81a960d35007eeaa44e1a9" to "ff83fab2e68cb185c61823c04a41b386458bc23a".
Changed file "ag.class" from "ebfe96eab78edc57050b3ebec906d5bc39c33726" to "820625f73a538afe00d024ee5deed1e3a765b713".
Changed file "ah.class" from "aaf9a8e7ea8a89f928ae0066dc3c5c05dd3717f5" to "3e22a3391085fcaef8543609b5c72ec412ac7e96".
Changed file "ai.class" from "5eca163876d48b0f8a971745307420c4a9eb7bf6" to "5d1724889b44c68d217e0382b04d58d3a90832d4".
Changed file "aj.class" from "380544caa1e32df07cacfb3455982853635ae266" to "9755b3d914ab629ae0aeced85985f49920cfda50".
Changed file "ak.class" from "b7cbeaa1adca7219a9bb7ac299f9cc43db66d414" to "04c14e220e6d2eb0d9406670a26670f5fe427f65".
Changed file "al.class" from "38be6ad93cee34763af75ade5a16a8b0a7a73ea0" to "aa304b81ab273b46bb81b2a1caa9edeb015f92e2".
Changed file "am.class" from "48e5083f336cbbf11c2ff4f9fb907551cac5e804" to "c3ca06f6c031d88866e5016b66fb4ad19d6e7c14".
Changed file "an.class" from "9f4ab7ec6396c7ab8150f7bc0c2a8be850f5e267" to "1aa52c0defa8fb5a3b4193482f58cf916e6b6e41".
Changed file "ao.class" from "2db580580e96040641826f3952fe2c436d9ccc66" to "3cef485ef08f9eb5b8a770e68e4f747e876080b2".
Changed file "ap.class" from "eac0416b57b2a8aa1a1cf17d8971df832e724aa5" to "26257990b68e10e4f4f7e061cedacfa5885b1e1c".
Changed file "aq.class" from "dc4489addecb28c69a97d1b91de19115e68a6969" to "f377df1e2a8a36e01a34aab197c5c06b1d311a37".
Changed file "ar.class" from "ce8c38aef5a51b7c13f25cad7f0137fb775675ec" to "839f81134dd1082d214891603329d3ca1194c430".
Changed file "as.class" from "3f26b32cfa2a20d1bd0d6ff43fc1814b1b2f2703" to "4af5e80c15da2cf85f4edeb79bbc1708ae8842ef".
Changed file "at.class" from "657662c8c4ac3fe6c13228c99ac1a6071cb80ee9" to "c1376df13ae503815f09585e39502c0660e24dcc".
Changed file "au.class" from "3c774afc301cca0be9fb9005f0d69220134dc13c" to "5d847e0b0650fa857fbb0b218a73c8707fd4dfcd".
Changed file "av.class" from "2b5cb7c6ed0871d48045c8d5487c31ff0fe7df21" to "6c60279e8c0969bd78d6461b4ce81a933f6fd7ac".
Changed file "aw.class" from "ba2cf1cd2da238fe514d829c43423ffea964e91d" to "55f91152ab6df470d81c006ebd820adf0d539259".
Changed file "ax.class" from "65245c5b44efcbd3f7ae0eb593b990bfbcfd486c" to "4c9bc40fba96b2552edbddd9e0607aafa35b4666".
Changed file "ay.class" from "2854c9f8663bb7630dd878c898ecb77f3664c4b6" to "2c26384f1d4fe4b253c9ed352015c39571d748b0".
Changed file "b.class" from "6714efb2da18d773a47fb926d7afa6f911c78e88" to "702a2382b5e7112953077bc05a283eef302ab343".
Changed file "ba.class" from "6cc9d2e1500e9f6aa91324af85c42c02a6c3a1cf" to "a194f56b460d724555afad6c38aeb23965f14455".
Changed file "bc.class" from "23aed9465153d8caf854f7c1e6358c83683b621e" to "b6b93513c5602c23c7bcb07879b35c1ddfffb3d3".
Changed file "bd.class" from "ed6068b69bacd6f338495290ecd16df4d61a2297" to "41a598c145201cfd3c4c039c52e0801c1268113b".
Changed file "be.class" from "3f6557c9fa0c6880a1c2715f7e509ed9b7fbe3ca" to "9c3934c8b46cda50dca79d4e45bb07b695c53a9e".
Changed file "bf.class" from "9706a9b4286c039a90ac59eae0fab9b35c55c06f" to "f17ba29e7a73d495ed15359072bbbf829ca7b9dc".
Changed file "bh.class" from "d349dbe341ecac833cf394f0d4dfac68d05d315d" to "b5f3e2c5dde7edf4c796d63d68909b61cbaf5d0c".
Changed file "bi.class" from "a7e6f0a1964d6ceb3ade36bb61ada6ea80bb0205" to "2e80923fbbd0a23cceacac992156ae6a4bd3cdf6".
Changed file "bj.class" from "14964e957a4fdc4aa81b483a1b8756ff8121416f" to "bbf2df8a09bf67bf9257bf86aa020d3c93e06da1".
Changed file "bk.class" from "3fbaa2cac77228537d8c68f0fcfbb097b7167ca8" to "25cd5b03f500b07984ad8941c6fc62e078ae1455".
Changed file "bl.class" from "19624557ab3ea82ccdc97d59f8023091a1b0228c" to "62d7179586ea426aa8957b59a15dfa2045ab4607".
Changed file "bm.class" from "d45a42bd9b6dd29a94961a6a8af6e734b8a814b6" to "68221fedef0bb75a4dcd75f1a46bea7c5ee5d38a".
Changed file "bn.class" from "b84f9f12cb2e28c5ec022b8d7fc5338251859490" to "ebcfe33b398e00f8091e11278ba8279b1af3a031".
Changed file "bo.class" from "64a91ffb01f6724356fbb091573c5a0bb20e38f8" to "d3a006e787e17787a081df67e1ef3c3e4db00173".
Changed file "bq.class" from "a6ee7a8b2bc1857e5de1cd0bd9d4ecd20bdddefd" to "18ee9f50745e06fba12a845edc1aed9f9c64305b".
Changed file "br.class" from "6d19150b7a87476279419442287ea3ed8d34c949" to "e48085ab56c1614ab4e3f1925a096e60e1310b07".
Changed file "bs.class" from "344479ae19fbb39d2c6e483fb20ed94cf3ca5747" to "f7530c3eb90e7531f4034a3aa1335d26f356cb9c".
Changed file "bt.class" from "1b69c0f6c28d968e2c9c35b7916308d50d157866" to "6f4586f60afc3b6de765976061ae8d28f6c9dcdb".
Changed file "bv.class" from "f6130e22fe16b036da3abd64ecc05228f9740f58" to "701e3cd7caf44b51d3e7eec03d5f6c5fe004a8e2".
Changed file "bw.class" from "5527205df956889b5c804ecc59f97706aa9284d6" to "9904b114183dcd7af2bba7a877d0e48dc120c4f6".
Changed file "bx.class" from "7fd9225247d97aae32b3bfe0baf88ef7cad5bdf5" to "69e8930fd77a017a1e5afac5efdbf8483ae69415".
Changed file "by.class" from "2aaec08090c240b79fec1e18948bc2754407d96a" to "cffd379abcdc8aad40acb13dd322196b202a9c07".
Changed file "bz.class" from "360175da453c5d25ddab4475d052cdec34dd819b" to "737883021a6e82dfa93984de59e99ff748fcc291".
Changed file "c.class" from "f4a21997e509ffa13efacd2769a105e0031e03da" to "3329e37c373f7a566f96d47c0abcbf9686088381".
Changed file "ca.class" from "c9bedf480a08f514b0d5316a3ceab7a0ed8f3170" to "bcc1053263be062a4cf68299442af2f8dfce3355".
Changed file "cb.class" from "4b1709ee217d4ab854345f7b679f26a50803311a" to "2a53a878f4b3c92faf119fb8401a2cc71e9d5220".
Changed file "cc.class" from "87b39b62d4739edbd4e46a8d4d3dd083909fa4dc" to "21d834f4f9758e5f37939bd095b2a0aa0487b7ee".
Changed file "cd.class" from "fe5c49165f23116207b353ec5526fbef2810316f" to "87f79352406c2a88eedd90665b662477b5ad62ec".
Changed file "ce.class" from "79ce3171be15b18d3f834c76c1e95c24eb027391" to "6de1b8b82ab02e08aa2a59a72f81d63448f2cfbe".
Changed file "cf.class" from "db7938f61958147a31daa85a2aedd86326588c1b" to "81591c83133af359a4e76c2a9e26f4c09887f3cb".
Changed file "cg.class" from "62040fbc7a4d1bbe4ccf33aebc96dfd53bdbc196" to "f51828f2ed845fcfdd7bfa28faf40b002a5c6062".
Changed file "ch.class" from "fe4a73ae0c713fa955cac0776cfe3fc5ea18ce87" to "f699ff685a7fd50cc908beaa58a52513cd9ebd8d".
Changed file "ci.class" from "f4070eea2fea47625c9ad37e295f1b2361132625" to "7e651cb42de48f7bbe3ed53381f94484967c7ca9".
Changed file "cj.class" from "e75639e2b5fab8328d867522eb2967215187dec9" to "f8a44c65d76943430fe81a45192ac08687c227f7".
Changed file "ck.class" from "ee067f1aa035dea200291ed7ef1f357528819db1" to "21d983fc7edf2b3b21ddc55fcbad2c3d01b0240c".
Changed file "cl.class" from "1eb8232c0874c260a6f1a8a38bee5a493751a2b2" to "3df2767f2a37ab794a896480e2ee34ecec525ba5".
Changed file "cm.class" from "a07431382c1157e06515485e45caf7ab875f5d6a" to "3fff1498ac7ae8cdb5cee2735a8b260fa9c9ca26".
Changed file "cn.class" from "42f37e5b5922c0527c5952a771f9bdf22167f286" to "ab36ff8e00874296d69bd53aca893e73b6b77ee2".
Changed file "co.class" from "eb709b4f7a1ba8e3d60277abb6759740eee5aec6" to "178ada63e628dbea3b1579904fa985a12ffa59d8".
Changed file "com/jcraft/jorbis/Floor0.class" from "a5405de9998d95b428b936567287a30467366aaf" to "e946f96302cd1c30d6b94ddf5f9ef474ccb704c3".
Changed file "com/jcraft/jorbis/StaticCodeBook.class" from "399f03287fc3b061d8019763116e09abb633e323" to "cdd183c1a2d48019e0bfd8cc8162a5e593a935c9".
Changed file "cp.class" from "9b1c2e6c4267a9caa61b649931af5b9d838bb291" to "45a39cf56690c5b7e3d450a4ec4d9a0b5a8bf875".
Changed file "cq.class" from "df39d0c53255003beba0b20e985babd6cd258b99" to "2af2f3aee2fb0911e2958688c76fd4460f37d02e".
Changed file "cr.class" from "45c6139fcd5cb679e6ef9743e08af5e5ced57fb8" to "69fa90aeafdbc60b646ae12824c48b3e4a169fa4".
Changed file "cs.class" from "f0a098299393f52e0e9997647e8aa09411a2e841" to "315752f8e77a50a982763224e527c6c290b9a4eb".
Changed file "ct.class" from "577b1687244dd64ef7def253350a857823b091ba" to "b44b4e68e9f35c92c29348978b2502f9fe735996".
Changed file "cu.class" from "e41d5bc43277e9b12fdf7bf1e67a591fd7932032" to "c2489fbe7a94ca1918aca9fdfc7ea4fc1c662070".
Changed file "cv.class" from "fd43773535839ee02ae9305be5f076e328e8c3db" to "51dfdf439f13f9fcaa967e77d32aa0a32ff95205".
Changed file "cw.class" from "7cc72c67a25f831b477bc556f55cec91e9ff288d" to "47e8e18fd60afe1dcfdcf4199557fdfc2c5f6cfd".
Changed file "cx.class" from "bec1908f601a980727695884cec9d3a0eaeaa026" to "6e7db6aa89959ec85886566390538bc36e91b00e".
Changed file "cy.class" from "649919c9518325bc2ade53041824e985d0480c32" to "3bacfc4f54190a8e1c3dfa1925990c9273228182".
Changed file "cz.class" from "a507b9447bd72e4edcd290297fa0bc0ac3a9b98f" to "7bf26e99020fc5d7219f7c76b43d9a19fb6e8261".
Changed file "d.class" from "1066c0f5025d154cae837e9e5b962a3f65015e59" to "7f9ebce531a7b0f1ef434dd19a9e25e12589d771".
Changed file "da.class" from "12f953d3d5808dd7fab71efe5c13c5a869f5a48d" to "6bb112ed239905ee80535e27372de36bb5d43d99".
Changed file "db.class" from "386982fe15baaa64a382217ec0f6b51d3c29b01b" to "f7e5837d4fd456e0ce24b405a54303203a0a8fdd".
Changed file "dc.class" from "6870297f0321359941f9305997d42172bbf4deb1" to "f28b07a4a9262b62ecd5ae02e04c62a9db38287c".
Changed file "dd.class" from "8e7acb13f346db06e2d2e9875cecebb2eb9a0393" to "f55fc7d10df1db4327a7e066bc93fe9cdd8ce7ae".
Changed file "de.class" from "08ef86d57d7fac8cf3bf177972b7fc32a8a33674" to "11af5b231caf367bd4ec15f5e08fc1e1c00a8863".
Changed file "df.class" from "233afc61cd098ef1e1ce53f5f8cc9121c918bb8c" to "115ba74f6ffe9852aeae159eeed22d2ce46b92d6".
Changed file "dg.class" from "6cd97dfaeffffd6d12b072bb5fd8f996637bbba6" to "275f10fe30859a0352c3cf9f8f42b6ea7c802af0".
Changed file "dh.class" from "fa5c6eda3875ab07d132cf5a65d6e2d8625f0fd6" to "9937505d54f24ecab6af4c314467dd2177466a1e".
Changed file "di.class" from "62e66109131b43dbbfc69f932dab8e512f8aaccd" to "4e445194e68ac4af5c8a7fa553229c349c052196".
Changed file "dj.class" from "0d1a615c25b4715a925186878ef36d6a8e12e91c" to "0b791f99c1d95e09665faabfed1e71643b72edeb".
Changed file "dk.class" from "69b8a0ed942308f9498494ca9640d3f8e1131c88" to "61cdec0d513fb5e267891c35176809fce4b6c68d".
Changed file "dl.class" from "1cb05cf5ade678ce2a9c44b6ecfaabc21a44a10b" to "3fa5601c6bbaa66010722d2b453ad430acbfdd8a".
Changed file "dm.class" from "9656b8d3b8151172ad08e5c7a90858f2031bbfad" to "06980adefa5f36fce7430793c0544b33828b6be0".
Changed file "dn.class" from "ba19a35e26f88d695a6572fd87b8df69dbffc568" to "a1ee6be1f98237c79ba371589976d84dc72aa9c0".
Changed file "do.class" from "81b2cb1354b469948251234be8b06d56db49b448" to "b270cb2c299020365afb401e3d2bc71a83023118".
Changed file "dp.class" from "95b735b0d217a3c785508eb1a278272d20d7925e" to "8206c32e4e80ab0639125bb3d8544e389788b031".
Changed file "dq.class" from "cdc83f9e592b737c64030f48d8023fc2fff18e7e" to "c4371c35611f726eb67e3ad212ce4aa795f062bd".
Changed file "dr.class" from "a8a1e3bce3010ec1f4a11cb39e1c5f3fabec6d3c" to "51c095f408444925d39d7622680a911311f666e1".
Changed file "ds.class" from "6587a29e026c29d4e20492c06211641853dce647" to "16a6fc6e03ad3c7caae031cff414327ef66ab084".
Changed file "dt.class" from "8be27bf6e3ba114f40a0081970179df1b9acc32b" to "795a6593836f83014bb01fef1e906b47c4014375".
Changed file "du.class" from "608a158c6781c29bde37a33704fd67f5ab573b96" to "c3f377ae02ddb8517673714cdecf6b9149a0eedd".
Changed file "dv.class" from "552b126193e39c6b46ca0a1357cce236ec0150d7" to "9b384de2cc5a998524b0dcc1f4f40c94694ce6fd".
Changed file "dw.class" from "98a0b2d8b3c4fd2bd9be47cfaad2723f31d5c72d" to "28e7c2df159e065b4e434a3c2504019b1754bb98".
Changed file "dx.class" from "9fbd5df5769834ea8146863027fbd9afcebdc01b" to "d1171efcecd8000dc2e369707b3633d58aa0627a".
Changed file "dy.class" from "0fc72ea1de4fedd0bcd7a05c32866e67b4bc197b" to "cd4ca3cb8c22109e9eb4c7cb4e7d4cccb411b153".
Changed file "dz.class" from "6643c0498e4ac83ed092a71986c2a33d10531f93" to "8bd79110f7825b06333c96bf8ad6693cf49c6811".
