Difference of "all_files" between "a1.0.8_01" and "a1.0.9".

Total file: 494 (+1, -0)
Changed file "META-INF/MANIFEST.MF" from "68324290857f199e21dfb0275e21321c729e1488" to "0da7901c3716ce39b9ff69aebb4ad1a406a48fd1".
Changed file "META-INF/MOJANG_C.DSA" from "6425854c4e65fe405df880b4d8da5ab64f21ea39" to "66b99a4d8130e1631da13ccf8bb6bcab08099d2c".
Changed file "META-INF/MOJANG_C.SF" from "9a0559a25ac108ace757c06d7e5eb866ed96fe71" to "34fba1ddd8e08b4f0a7a75a14902804ec8662611".
Changed file "aa.class" from "886ad16549591b7c8ba15c7001788a477b1a0ce1" to "9e3a3601888aa19d8ba87126f9fa4774e39bde3d".
Changed file "ab.class" from "be694a3a01d1deeda3b59099977e247a3cd48f6f" to "8ec514e0826688b7b3ca341cc87cc6e0eaf64ebd".
Changed file "ac.class" from "cb51b9bc7d9f9ead3f9f6d7ae68bfcae896ece30" to "f21cbec1cb7220138aa6837fe46714130d8d37a0".
Changed file "ae.class" from "d3a7f38044ba83f1f7269563f752029d84fb0d19" to "592102606a1dd7d575164f32c7082c4c8d0357e7".
Changed file "ag.class" from "4e97bf7a7c59377a15a0d83e784cd2252ceec904" to "002a4f0b00695345317c8f35fb553abff9a4d7c5".
Changed file "ai.class" from "831d656c1069fe47a80beefb8f0e8176843de433" to "a705ead8172222403d842d1aa019ec4e87c9efc3".
Changed file "aj.class" from "f01df38025449fedf8abda676cbeb63e46ed63ee" to "b43fe35cbb63f7cc850c1af86659bc919e9ba6f7".
Changed file "ak.class" from "e5515d8ed6484042034f3bf8e3999e6c42cc854a" to "62d381fd2c04321fec4f788a8caaf5eb594a300a".
Changed file "al.class" from "6f98b7dbdc48bb49a4c268e8ad96db1e3fcf16d4" to "08be28aff94ac3ff30981c2b7c8462601570a295".
Changed file "am.class" from "1bfe230d26e7e5e5641e4d96149440570bf46549" to "b28b47dfd67417ea75ef6688c0220866a0982542".
Changed file "an.class" from "6e3be726ec9a969769cc0c405c757fb3046c88dd" to "b73903c92db77c6ddcb627991fd025c0e342a0aa".
Changed file "ao.class" from "6cd89b4ef81a8576327bb8787a8075dea92b4703" to "713e779cf76e54492e269cbf53d5f5a0b8d29a5e".
Changed file "ap.class" from "5b3943cd5e7bd7bd215e9d9a6a914443152743cc" to "533b1189cc2eb9b005b29e72af89f6ad29137acc".
Changed file "aq.class" from "8149fb596af99d859137eb2983c6755504b0e059" to "6f5a3e52e2ceaa9cd808c25ef0a33100a0fa4083".
Changed file "ar.class" from "cefa07c0bc23b596632eca42787798a491fd49fc" to "523dc6098e0dea8c5e527b58ff32f782987237d0".
Changed file "as.class" from "a61f010516cbf224cced6554876b2bd0e3d7ecc8" to "5391ca07ee23d88b27d7e9a7fce027212f36f869".
Changed file "at.class" from "a34709ccb04c2ac2f3a42eecb624ac9d3001e394" to "202439e10a40dac4b6c22115225fa077137ab811".
