Difference of "all_files" between "a1.1.0-131933" and "a1.1.1".

Total file: 538 (+1, -0)
Changed file "META-INF/MANIFEST.MF" from "dfeb4adb6537f5093131853937c77a1e7f211362" to "949560a350dc217ee1f83243589dc29491284e92".
Changed file "META-INF/MOJANG_C.DSA" from "888945198d8b3b029836c7f6a27d512aa792c636" to "847873569d34b98bcbc565f2b6533dbc7c75c600".
Changed file "META-INF/MOJANG_C.SF" from "2318ccaba014fcdd4e51389ee33e238f5e9a3370" to "086de8840d1ce588ff025626a97fb1450b967621".
Changed file "ac.class" from "9491bcf40866c0b8a2f1cbfc4d283ba657b93b61" to "ec4c96fa5e1acf248717e70eea010b266545e0e7".
Changed file "ae.class" from "c2fb16f7b7908bb1fac0712de2a5abe5294963bc" to "8b6a5e00661acdd8513ddb3a18f2dd531eb1a160".
Changed file "ag.class" from "ca061272c4cc86623288c68c994ad7c60fc1a3c6" to "ac6a869c2eb844b2755ab22c982c05fecceb51e3".
Changed file "ai.class" from "7b32db051e89645a58d3e947ee8b275a2558498d" to "5bbe76874ae8f9843d856240446dc35a65ac1423".
Changed file "ak.class" from "0198c6489588e1d6699feab24214cb240ba30f5f" to "bf1a64a5fc965553bb212836ec7fd5e9de8f7da7".
Changed file "al.class" from "b39208bc6ea643a7fd87ed985b2563df45d4d038" to "ee519d2c8e0cd83ff441d08819d8a3bf6995372d".
Changed file "am.class" from "82571cfefb0fde4d11271fc1680fe322c2ebf295" to "e706a44963d8d4b38180202ac4d7bb3dbf5d015d".
Changed file "ao.class" from "8c6283964bc6d8ee267cc4c6d2cc0043facbe81d" to "240a6f6d4aea36e5c2f8d63a2a2a608ebdfb6ce7".
Changed file "ap.class" from "3fd3e00c1e5c4956a91662afdd11f34596130907" to "4130ae91abf0d0ba20b81785bec452c58b5d5d62".
Changed file "aq.class" from "21abda944339aab9c1e9439349faad7a5304bf1a" to "83e428f6a1d4d5213eeda8213c17dd360bc2e535".
