Difference of "all_files" between "inf-20100327" and "inf-20100330-1511".
Unable to create data files for 1 file between: "inf-20100330-1203"

Changed file "META-INF/MANIFEST.MF" from "cb7951f6d40f91444b560211e1a62863c2712098" to "fd7418440eae5e85e2ce6371ff5aec356235f399".
Changed file "META-INF/MOJANG_C.DSA" from "cce60f6ebe05399a34d58c18e7a221e2e05122ce" to "41cf537b79b95d22f58a547ec3d2e7169ed63197".
Changed file "META-INF/MOJANG_C.SF" from "8d196e790bf17fba706173972ce65a09948c80b5" to "d3930a00063b7f4d1fb416bdfc2cc562544461c6".
Changed file "net/minecraft/a/a.class" from "a1bf56a9b9d8a6365291ad08edc92402f5ad3cc8" to "61b849443fddfdffe40e56ad9bef4ff42aac0546".
Changed file "net/minecraft/a/a/b/a/a.class" from "d6c864cb25d08f5ab10145f76b9e263bc17781c1" to "834143f46abdd61ae2c3edad6ab07bfd5264508d".
Changed file "net/minecraft/a/a/b/a/b.class" from "b2c52899bf6891bb191630d0139c0049651ce552" to "8953e3ec274c1d752a6c63beb0498bca5544b03a".
Changed file "net/minecraft/a/a/b/a/c.class" from "01db13115ea26ef00b0b89c9b8b3069425bf601f" to "a226c23bd25a37d6bfcbfdf84686896b6ff08f5a".
Changed file "net/minecraft/a/a/c/a.class" from "061951d5d2e84b6c8165bd12816db501cedfff29" to "03c2ee7cff5621284fcb3fa1af50e44afe3c53a5".
Changed file "net/minecraft/a/a/c/b/a.class" from "1f511a57a89ec5c6a7dd55cb4cae5bc02e044429" to "d00ff74c16445811a1c1aecd408f62cfa2e29a80".
Changed file "net/minecraft/a/a/c/b/c.class" from "3f17ba09fcd24f6661b925cbac36f30172f289c2" to "6c5b256a1855338bcf1b1a72c3f7486976c30f47".
Changed file "net/minecraft/a/a/e.class" from "9b54894ef762a464fd608ecee82aa0c421dfa3f3" to "2315f491fcfbfebaa52e6e4cc4b3675770ba2045".
Changed file "net/minecraft/a/a/e/c.class" from "ca08ab1d440f015b66d70a4dbef260bd8a845b97" to "9f11f72e944297bd6e5bfa5d51993fdc56c19f68".
Changed file "net/minecraft/a/a/e/d.class" from "b12ad0ed653e0821fa7e33e055a1116e013db50a" to "bf18abbf7140ab36439b208f98d403ac4eba578e".
Changed file "net/minecraft/a/a/f.class" from "32009bd1c084a0cb36245b0cc468356fae3d4558" to "d1727b2889b39d3a37acd55d95319d3bdf86143d".
Changed file "net/minecraft/a/b.class" from "2852d8c39a9349cde9676de80e695dd40d10f503" to "350362f8613f19ae215a22db5f15c073dfdbd49b".
Changed file "net/minecraft/a/c/e/a.class" from "8cd5177cd2dbf726337ca850f60808c46d1c14c9" to "60982d7bb5a6bbc6931163d46742f0ce37808b35".
Changed file "net/minecraft/a/c/e/b.class" from "8719e4fb1fda6344fd84dbccb9ef9cb4be4f4c7f" to "ac77bb0fbd63bc3261e197d0651d27ee6bc8fa1f".
Changed file "net/minecraft/client/a/b.class" from "486459114b8fb31c65e6cd0f98e6308ef934996b" to "1c619312dd570b164dd4bc6255f41e6c8a37162b".
Changed file "net/minecraft/client/a/d.class" from "525ef7ccec8d9e0cf42142277088f3fb0e13006a" to "f3c9ecdfaa144c3618e2e58feab5e6a502839c2a".
Changed file "net/minecraft/client/a/f.class" from "f16fa31c289f0176fa530cc59f47f5022f73cc71" to "28b82bb849d9a008493f288ff930c9501a5e2660".
Changed file "net/minecraft/client/c/a/a.class" from "f82590737a5256243b65e22f1945845f9d582aa2" to "36cc2365d361fddd56889f5dc564b462da472f54".
Changed file "net/minecraft/client/c/a/c.class" from "58edfd68d1c6776b146b48b4eb199ab4b8914de2" to "a983a646ea787e929f0177736052e46f77bf6a43".
Changed file "net/minecraft/client/c/a/g.class" from "2f879cbc173ae2a55cf236ef0fae18a034cae4f8" to "c41f4d97a7a025bb47a303ef2fa92cecb79e3edb".
Changed file "net/minecraft/client/c/a/h.class" from "6cb90c577783c1790d1c29059a6c1c1012413fa2" to "5cb76a65317edbeba37c614e801b6e41c44cabba".
Changed file "net/minecraft/client/c/a/j.class" from "988b484426569c689146c8a5c97b40c94d266328" to "a4d815230be80cd5ba90668b1c7467ebc297485f".
Changed file "net/minecraft/client/c/m.class" from "5660631db6868f987fcc4b88eb17f566ee20631f" to "14c89a9ab5f36901eed41421f8f39a90f9e8c575".
Changed file "net/minecraft/client/d.class" from "f51085923d0303c060dcf9bffc6ca2a795530f96" to "0e4ada3cf8b053a0aec3e06f6bb14fa2ffc20ec5".
Changed file "net/minecraft/client/d/b.class" from "c0d36d7b1a05403e6260f41d087dd2c8e04d2ebb" to "d7cc359388801da47d7e6d1b06e092f188bf3b93".
