Difference of "all_files" between "inf-20100611" and "inf-20100615".

Total file: 374 (+2, -0)
Changed file "META-INF/MANIFEST.MF" from "aa2d25d92a8258df78230b83e04872c10cbcb090" to "fe6000d35accb224b91d489698708f031fdb066f".
Changed file "META-INF/MOJANG_C.DSA" from "fe59dda19bc9ae2999ad1d856e6290f522ba8600" to "70bc5363c42d960ac7f3ad258c6395db9cdbdfd0".
Changed file "META-INF/MOJANG_C.SF" from "879fa5ec1fc3d91fe0294e4e6ae52aa8b9919ed9" to "95ea1ae8b3d093f028ff3c40774bf974dacc7540".
Changed file "gui/items.png" from "220e7665423eb90320027fa91f88be6ed42e9ed1" to "04d530b6486471483b70eb3d518ba82330ddf6b8".
Changed file "net/minecraft/a/a.class" from "bf2e1b3eee77abda88eb9c378501880406175dda" to "c1efc65b5a09eff15ea53ed8533f3c06cfec1a8e".
Changed file "net/minecraft/a/a/b/a.class" from "c400130fb96a13c80ff01e1cade7b3395965a47b" to "f49b72f84aa3449eb608a49bd7bed67a5adb6f53".
Changed file "net/minecraft/a/a/b/a/b.class" from "b7f5c8a567fa911afdc1c92345b5ef0bcaff2df5" to "6239cccbb7880acd3451532a321ffd2bc8af05d2".
Changed file "net/minecraft/a/a/b/a/c.class" from "3e6b9279b3e8a245cb19d36c5344886638ecaf5b" to "da65839be614b4011236fb55e209fd8a0d52f9c5".
Changed file "net/minecraft/a/a/b/aa.class" from "e5945e8800b474d66c0b0bc0185a789de3787da7" to "438488f44e9ce8c2aaa55ee50ca4ecae88034ffa".
Changed file "net/minecraft/a/a/b/ab.class" from "9d0de18a0d07cd19eadc76c6e880767fcec94d32" to "418ffcbb8566b9f7de61ce61a7c50636a5e78d28".
Changed file "net/minecraft/a/a/b/ac.class" from "63aa5158fe4f5c8269f22df78789e04f19d6985d" to "ad7d0969ddae8122561b3ff1285395910cb61f27".
Changed file "net/minecraft/a/a/b/ad.class" from "75b072d96369fed2eb7e08553715ac58535985ef" to "ede861401b9307b1b80520775d013bae4d215aa4".
Changed file "net/minecraft/a/a/b/ae.class" from "6e69de6b71eedebbd8e80095eb39671da0a2ab74" to "4143c73ad95b487dfcabae77322a0a908f1ea69b".
Changed file "net/minecraft/a/a/b/af.class" from "571b58e5b1505c020d67f4e262c878d1f9f9bab5" to "c158f6633506fd9ff55c8e51a88b2f2b5a788f0e".
Changed file "net/minecraft/a/a/b/ag.class" from "b7f412ef7f84bda153e8558c4aaa0a8836063639" to "2bb15522b66aec3f3d4535a2f5ef142fb2b9dd62".
Changed file "net/minecraft/a/a/b/ah.class" from "86ddcd0fec3ba90da207b54ac6264d04d8a1bbde" to "4cedb8c578e52a629cc8f24cbbca9e8eeaceb905".
Changed file "net/minecraft/a/a/b/ai.class" from "6f8a17385447235c14cdaabdd43c613f323ae093" to "5ebd882356c738e9cfcd0a2a7f559f98b0a121bd".
Changed file "net/minecraft/a/a/b/aj.class" from "8499969654f51dc6ec7277b308f857e4b58fed13" to "ff79938ac5f929135b53dd0a762a31068913bf18".
Changed file "net/minecraft/a/a/b/ak.class" from "6c30c27e91ab61efb82154ddc31874033c0425a7" to "c9e26a137a93abdfc147dc10b68e461d0724ee0a".
Changed file "net/minecraft/a/a/b/al.class" from "a034cc07e1c3fb4789436631194faa6e6fd00974" to "97270356f90979c7622dfac09ad046f801c90096".
Changed file "net/minecraft/a/a/b/am.class" from "52700fbd33ceed05f13e038e5d0963a125b23441" to "7453e0ccb4f828959fb40b5d1b4899c4371cdff8".
Changed file "net/minecraft/a/a/b/b.class" from "5aa124e54e1b031737cd23ecb934b2fae47d0740" to "3fe1c3442322aa6cc5ce1a2f6886cec51619a10f".
Changed file "net/minecraft/a/a/b/c.class" from "e9cf9b2ed6e657525d06445e6bbdf113eaa3236d" to "cdff9c50f8a6dfab16a473ca4c81ce10d7f162f8".
Changed file "net/minecraft/a/a/b/d.class" from "31a044dd09037002a709dc72a23cc00da31e59b8" to "1c564bdc3cc29b635a912fae0219990bb495dae2".
Changed file "net/minecraft/a/a/b/e.class" from "ec1fc84ca39f7ef5ebd1bdfd466ee173a0e4b1ad" to "2f42b1bb5318846a26c7a06e0c3fee7fabcb7c6f".
Changed file "net/minecraft/a/a/b/f.class" from "7e0b04480fd99df2fe84e31e266b8fb71288b2fd" to "8cbb56a47ae9cbfa5e6b6ef3302fcfdd69c7d3d2".
