Difference of "all_files" between "a1.2.2-1938" and "a1.2.3".

Total file: 592 (+3, -0)
Changed file "META-INF/MANIFEST.MF" from "3464ef97de52d14ca9fe2671bb5e539ba7e43f9c" to "38b3366d9a8e5de0dcdfa18d806ced5eac293aa0".
Changed file "META-INF/MOJANG_C.DSA" from "d581db9a4da4587c4a998d0fc33524c2b2a2eee5" to "71de29d8b86445dc2823adc6e1e429f5b4dc11a7".
Changed file "META-INF/MOJANG_C.SF" from "80a01424f61e1b197226594a87fb3a5cebe6a7db" to "e017bcac34fc607ae400d72b3db04b50cf907c13".
Changed file "a.class" from "c5993c76278e10625c34979764f078d74f7ebd56" to "3ea21332c2bae16c91d8ea25852138007b53635c".
Changed file "aa.class" from "9d97282700711dfd9457447c0284e59bd44b630d" to "49d1a6798da863067a385126a74e2abfe56deb50".
Changed file "ab.class" from "0676f90ad1eac6d0181a031a2e7a11c817f1499f" to "c6d232fdf64f725e904726f0fb5ddd33cef90cfd".
Changed file "ac.class" from "287fcac1747bd8d5fa3a717d6e234b51ca96d0a8" to "1b14d2e4dcc441248ba7c5ae38d750fd5df2e380".
Changed file "ad.class" from "da353a97c93cd93bb740fd0249ae2a457182ecbc" to "01ec6699246c622de6724f2aad614457a535dd07".
Changed file "ae.class" from "095a1b59843f3a700be890704448dae3c3ab44ef" to "841f8f914998fe80db3fdf7bfe21f55bbdfc1a55".
Changed file "af.class" from "1e6190ea624a2eeace6de30a3067cbf68fb5c0c4" to "aa0336a804ea02afb3ab9d688f5037986e8a8b46".
Changed file "ag.class" from "2dc137ae0c9abce74c59e9642a04ac9fe6eb5ab7" to "095cf65d2ad6459c5e594d84dfe86eac9a0845ec".
Changed file "ah.class" from "149021d2767f3118010ee02a81b719de5ef8d8f7" to "70cfd19945f26177f0f9a0da65545f776dd3ab2c".
Changed file "ai.class" from "53b30055f8e705638a622ed87e6eb59a36e1e438" to "a75e728c459990c7e7f868772aabeb5216f389a8".
Changed file "aj.class" from "17c72fa4f27da83882384b24c215cb7432f31784" to "d4257a12c0d9b200fa8fd3b98c2d501e1c0980cf".
Changed file "ak.class" from "d540bb4a54f17442b175e4fcb78843fe58fcc8c9" to "89aa1a58dab1f5226d852e570d4e5989ba652b2e".
Changed file "am.class" from "0571368ceb23ebd78cec4a9710efdadadb3abfff" to "32849b5df75b2ea3f6d47833a2b37f40c591a467".
Changed file "an.class" from "73ed26ad13dfa92dac5b350f03d3af8eaf88c70d" to "c16e9607feb2315e8c947920102deda1948bfbab".
Changed file "ao.class" from "89c3fc3a09a157b8681f55c446f641480450eff6" to "2af2da4b194179eb451432cc4de433a00a15ad60".
Changed file "ap.class" from "4ce53ee4d7c4f02805acb96f77814e6f325b8ece" to "fe09ee6f3c893d08cb3627cfd1ac628f488cb811".
Changed file "aq.class" from "0d47423f78a92fca36731b23d4886326b25042cb" to "6b9788e1689c375d0899908e0de220f48020ed54".
Changed file "ar.class" from "86d4cf4c94feb470dd33ac9f0fbdf836766010b5" to "69a960f55a8eaf63b650b83184a3fe35c55cadc8".
Changed file "as.class" from "93668aa59e123704e91666ab1732081f0280630b" to "f158054fa231d358670466b924e78e4a8d6be0dd".
Changed file "at.class" from "d5f844b521bf1c4143f02cd0e7b421491578be6b" to "9f2d31340d0189cc6e4e88081d30a7ffd366ea44".
Changed file "au.class" from "41f0a5590ddcc513156516940c2511345ccb8218" to "bd39a36b45d04c76e5ce27c57508efda11ef9b25".
Changed file "av.class" from "665c58a3a0e64971fd7c1fbd4bd8eedffb5015a0" to "d3bd16629ffc9264ff6295242f4e8e1b940e0117".
Changed file "ax.class" from "403163f11a40f1b37e8b16f17894d430dd828b19" to "8279c34dd24962c6c7ebbb333a8ef8a125edb4fe".
Changed file "ay.class" from "157dfb0cb492f76a20b65aa59294bc27933676ec" to "6eb64b2f2885d30ed2041214795ddc9d6eca3ae8".
Changed file "az.class" from "fa62bcff5b1e8854713d9d623a471da5212054ec" to "0dcbce0039cecaaad9dc0321a29a794895830cbd".
Changed file "b.class" from "986017bd81f4b6e7febd9813c17768e09d8f04fe" to "094956184c228fe0038ff0648f761ff02124ae7c".
Changed file "ba.class" from "a3b7397bab01d1cfab221b6281bcb3f041faab8b" to "1cade3c5465fb99e801c0c676e9ab19f2b908de2".
Changed file "bb.class" from "f8700b3cc6306771edf00996dee5fcbdb5c00901" to "0393e6000c75ed4c30c71f6545b5f542ce7e52cb".
Changed file "bc.class" from "289bcc817dadee3c51c70098f9efa551a7decba6" to "be1a5082caab9e5fc51f2b3b49227f7eacf735ee".
Changed file "bd.class" from "8cab07e396a206ab6cce47e29795dd7da8b9fc3f" to "889c7a5b8c181631aeb4e329608844f86f05de2f".
Changed file "be.class" from "405b025e8392802baf4feec295df9ea66f8d8e67" to "72d1f5008a8232ff89c8ea8359d0578d05cf2bed".
Changed file "bf.class" from "23ae2d87be159c9d831add497cb0621fb50f67bf" to "02b5d21f3ad05d6a18be20d1e092f97616492114".
Changed file "bg.class" from "75c08b1b1baf81225f5e6f7010a524e9415bf40c" to "75b808325198c41a60ab7060199387dcb1502a3c".
Changed file "bh.class" from "5b57ed9be91558842d058a54c32458ccb1540e14" to "fe2fb3fd840950200e83c9911f144aad0e52ba33".
Changed file "bi.class" from "5f5609da4c02947d31233d49eb915ab4e6b9f317" to "b645d90d96e97f43c1dabf21e87c39b7f5f93a6d".
Changed file "bj.class" from "5ac92f53ea9feac10955452f6aaf4c77a6ac8f2f" to "bf709c64a6645af89629da629f611383078cd07e".
Changed file "bk.class" from "559cb5aeee79bd0fceecd4e149586cad42e36567" to "6a47d652b6febc8e28de854dc1ee26a1b422d54c".
Changed file "bl.class" from "fada97f02722bc6840bfef0bf74994a1fb5402af" to "7168f1b21b0b177b0301fd8f82acdd156bfcd946".
Changed file "bo.class" from "0c891204442870e6123232346ad840c300e7a990" to "988c55488e0b0befd3e761e9a88ad9abedf4d17b".
Changed file "bp.class" from "801f98078f9ffb50917b453f896f5e50502ed2c6" to "b0cdcab3333f87bd671965210deac4d1022336d3".
